#Дата учета;Код бумаги;Наименование;Эмитент;ISIN;Рег. номер;Дата начала размещения
2020-05-08;RU000A0JX4Q9;ВЭБ.РФ ПБО-001Р-05;государственная корпорация развития "ВЭБ.РФ";RU000A0JX4Q9;4B02-05-00004-T-001P;2017-01-12
2020-05-08;RU000A0JX5W4;Альфа-Банк АО обл. БО-18;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0JX5W4;4B021801326B;2017-01-23
2020-05-08;RU000A0JXC24;Транснефть ПАО БО-001P-05;Публичное акционерное общество "Транснефть";RU000A0JXC24;4B02-05-00206-A-001P;2017-02-03
2020-05-08;RU000A0JXE06;ГосТранспортЛизингКомп 001P-03;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0JXE06;4B02-03-32432-H-001P;2017-02-09
2020-05-08;RU000A0JXEV5;Мобильные ТелеСистемы 001P-01;Публичное акционерное общество "Мобильные ТелеСистемы";RU000A0JXEV5;4B02-01-04715-A-001P;2017-02-10
2020-05-08;RU000A0JXFS8;Газпром капитал ООО БО-05;Общество с ограниченной ответственностью "Газпром капитал";RU000A0JXFS8;4B02-05-36400-R;2017-02-15
2020-05-08;RU000A0JXGV0;АКБ ПЕРЕСВЕТ ПАО С01;Акционерный коммерческий банк "ПЕРЕСВЕТ" (Публичное акционерное общество);RU000A0JXGV0;40402110B;2017-02-14
2020-05-08;RU000A0JXHE4;ПАО ЧТПЗ 001P-02;Публичное акционерное общество "Челябинский трубопрокатный завод";RU000A0JXHE4;4B02-02-00182-A-001P;2017-02-16
2020-05-08;RU000A0JXJE0;ГИДРОМАШСЕРВИС АО БО-01;Акционерное общество "ГИДРОМАШСЕРВИС";RU000A0JXJE0;4B02-01-17174-H;2017-02-21
2020-05-08;RU000A0JXJS0;ПАО "МОЭСК" БО-09;Публичное акционерное  общество "Московская объединенная электросетевая компания";RU000A0JXJS0;4B02-09-65116-D;2017-02-27
2020-05-08;RU000A0JXK40;ГК ПИК (ПАО) БО-П01;Публичное акционерное общество "Группа Компаний ПИК";RU000A0JXK40;4B02-01-01556-A-001P;2017-03-03
2020-05-08;RU000A0JXK99;ТрансФин-М ПАО 001P-02;Публичное акционерное общество "ТрансФин-М";RU000A0JXK99;4B02-02-50156-A-001P;2017-03-06
2020-05-08;RU000A0JXKQ2;Совкомбанк ПАО обл. C01;Публичное акционерное общество "Совкомбанк";RU000A0JXKQ2;40103329B;2017-03-10
2020-05-08;RU000A0JXLM9;ИНГРАД ПАО БО-01;Публичное акционерное общество "ИНГРАД";RU000A0JXLM9;4B02-01-50020-A;2017-03-23
2020-05-08;RU000A0JXLR8;ПАО ОТКРЫТИЕ ФК Банк БО-П03;Публичное акционерное общество Банк "Финансовая Корпорация Открытие";RU000A0JXLR8;4B020302209B001P;2017-03-24
2020-05-08;RU000A0JXLU2;СФО Локосервис финанс ООО 01;Общество с ограниченной ответственностью "Специализированное финансовое общество "Локосервис финанс";RU000A0JXLU2;4-01-00314-R;2017-06-20
2020-05-08;RU000A0JXM97;Транснефть ПАО БО-001P-06;Публичное акционерное общество "Транснефть";RU000A0JXM97;4B02-06-00206-A-001P;2017-03-29
2020-05-08;RU000A0JXMB0;САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ об.2;Общество с ограниченной ответственностью "САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ";RU000A0JXMB0;4-02-36502-R;2017-03-30
2020-05-08;RU000A0JXME4;ПАО ЧТПЗ 001P-03;Публичное акционерное общество "Челябинский трубопрокатный завод";RU000A0JXME4;4B02-03-00182-A-001P;2017-03-30
2020-05-08;RU000A0JXMH7;Мобильные ТелеСистемы 001P-02;Публичное акционерное общество "Мобильные ТелеСистемы";RU000A0JXMH7;4B02-02-04715-A-001P;2017-03-30
2020-05-08;RU000A0JXMP0;Почта России (АО) БО-04;акционерное общество "Почта России";RU000A0JXMP0;4B02-04-00005-T;2017-04-03
2020-05-08;RU000A0JXMQ8;"Россельхозбанк" (АО) БО-01P;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0JXMQ8;4B020103349B001P;2017-03-31
2020-05-08;RU000A0JXMZ9;ПАО "Детский мир" БО-04;Публичное акционерное общество "Детский мир";RU000A0JXMZ9;4B02-04-00844-A;2017-04-07
2020-05-08;RU000A0JXN05;"Российские ЖД" БО-001P-01R;Открытое акционерное общество "Российские железные дороги";RU000A0JXN05;4B02-01-65045-D-001P;2017-04-07
2020-05-08;RU000A0JXN13;РСГ-Финанс ООО обл. БО-7;Общество с ограниченной ответственностью "РСГ-Финанс";RU000A0JXN13;4B02-07-36399-R;2017-04-07
2020-05-08;RU000A0JXN21;АФК "Система" ПАО БО-001P-06;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "АКЦИОНЕРНАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ "СИСТЕМА";RU000A0JXN21;4B02-06-01669-A-001P;2017-04-07
2020-05-08;RU000A0JXNB8;ВСК САО БО-001P-01;Страховое акционерное общество "ВСК";RU000A0JXNB8;4B02-01-10202-Z-001P;2017-04-11
2020-05-08;RU000A0JXNF9;"Газпром нефть" ПАО 001P-01R;Публичное акционерное общество "Газпром нефть";RU000A0JXNF9;4B02-01-00146-A-001P;2017-04-12
2020-05-08;RU000A0JXP45;ГПБ (АО) БО-16;"Газпромбанк" (Акционерное общество);RU000A0JXP45;4B021600354B;2017-04-18
2020-05-08;RU000A0JXPD9;"Трубная Мет.Комп." ПАО БО-06;Публичное акционерное общество "Трубная Металлургическая Компания";RU000A0JXPD9;4B02-06-29031-H;2017-04-25
2020-05-08;RU000A0JXPG2;ГосТранспортЛизингКомп 001P-04;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0JXPG2;4B02-04-32432-H-001P;2017-04-25
2020-05-08;RU000A0JXPM0;Группа ЛСР ПАО БО 001Р-02;Публичное акционерное общество "Группа ЛСР";RU000A0JXPM0;4B02-02-55234-E-001P;2017-04-26
2020-05-08;RU000A0JXPN8;Ростелеком ПАО 001P-02R;Публичное акционерное общество "Ростелеком";RU000A0JXPN8;4B02-02-00124-A-001P;2017-04-26
2020-05-08;RU000A0JXPT5;САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ об.3;Общество с ограниченной ответственностью "САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ";RU000A0JXPT5;4-03-36502-R;2017-04-27
2020-05-08;RU000A0JXPU3;Концерн Калашников БО-П01;Акционерное общество "Концерн "Калашников";RU000A0JXPU3;4B02-01-57320-D-001P;2017-04-27
2020-05-08;RU000A0JXQ28;ФедералПассажирКомпан 001P-01;Акционерное общество "Федеральная пассажирская компания";RU000A0JXQ28;4B02-01-55465-E-001P;2017-04-27
2020-05-08;RU000A0JXQ44;"Российские ЖД" БО-001P-02R;Открытое акционерное общество "Российские железные дороги";RU000A0JXQ44;4B02-02-65045-D-001P;2017-04-27
